,feature,gender
0,liaqat islamabad,1
1,azam kpk,1
2,umer islamabad,1
3,nusrat punjab,0
4,asna islamabad,1
5,saqib punjab,1
6,ibrahim islamabad,1
7,sh punjab,1
8,arfil sindh,1
9,shujat sindh,1
10,ehsan punjab,1
11,abdul punjab,1
12,muhammad punjab,1
13,naeem sindh,1
14,kuldeep sindh,1
15,lachman sindh,1
17,ali punjab,1
18,nazir punjab,1
19,uzma punjab,0
20,aziz sindh,1
21,salman sindh,1
22,iqbal sindh,1
23,fahad punjab,1
24,mustamer kpk,1
25,tabassum kpk,0
26,abbas punjab,1
27,noreen punjab,0
29,obaid punjab,1
30,abdul sindh,1
31,sawai sindh,1
32,imran punjab,1
33,samia punjab,0
34,khan kpk,1
35,afzal punjab,1
36,tayyab punjab,1
37,khadim punjab,1
38,mubeen punjab,1
39,muhammad islamabad,1
40,faisal punjab,1
41,shahzad sindh,1
42,danish sindh,1
43,abid kpk,1
44,munir punjab,1
45,azeem punjab,1
46,baz sindh,1
47,tara sindh,1
48,qamar punjab,1
49,shoaib punjab,1
50,osama punjab,1
51,adil sindh,1
52,ahmad kpk,1
53,abdul kpk,1
55,zahoor kpk,1
57,awal balochistan,1
58,ahmad punjab,1
59,taimoor sindh,1
60,raheel sindh,1
61,noor sindh,1
62,vijay sindh,1
63,amjad punjab,1
64,hasil punjab,1
66,miraj punjab,1
67,usman sindh,1
68,tajdin sindh,1
69,tulso sindh,1
71,haq kpk,1
72,asad balochistan,1
73,sufyan punjab,1
75,adeel punjab,1
76,sultan sindh,1
77,sagheer sindh,1
79,bilal punjab,1
80,junaid punjab,1
81,sajan sindh,1
82,farhan sindh,1
83,noman sindh,1
84,dr sindh,1
85,ali sindh,1
86,arif kpk,1
87,ali kpk,1
90,rehan punjab,1
92,zia sindh,1
93,aftab sindh,1
95,rizwan sindh,1
96,jai sindh,1
97,amaduddin kpk,1
100,haroon punjab,1
103,rehman punjab,1
105,mohsin punjab,1
106,dr punjab,1
107,nadeem sindh,1
108,saleem sindh,1
109,adnan punjab,1
111,shamas punjab,1
112,saeed punjab,1
113,shamim punjab,0
114,sajjad punjab,1
116,murad kpk,1
117,rashid punjab,1
118,arslan punjab,1
119,awais punjab,1
120,liaqat punjab,1
121,nabeel punjab,1
123,aasim sindh,1
124,m kpk,1
125,usman punjab,1
127,rafia kpk,0
128,naeema punjab,0
129,tahir punjab,1
130,haseeb punjab,1
131,ram sindh,1
132,khurram sindh,1
133,saleemuddin sindh,1
134,masood punjab,1
135,aurangzeb kpk,1
136,saleem punjab,1
137,ashiq punjab,1
138,hafiz punjab,1
139,safdar punjab,1
140,hamayun punjab,1
141,murtaza sindh,1
143,mano sindh,1
144,amjad kpk,1
145,umar kpk,1
146,anjum punjab,1
149,m punjab,1
152,amarshi sindh,1
153,m sindh,1
154,mahesh sindh,1
156,nadeem punjab,1
157,raj balochistan,1
158,irum kpk,0
159,umair punjab,1
160,sajjid punjab,1
162,atiq punjab,1
163,aamir sindh,1
166,qasim punjab,1
167,jahanzeb kpk,1
168,nasir kpk,1
170,rehan sindh,1
171,kishore sindh,1
172,abbas kpk,1
173,shahzeb kpk,1
174,yasir punjab,1
177,allah punjab,1
179,a sindh,1
180,munaf sindh,1
181,mohsin sindh,1
182,naveed sindh,1
183,deepak sindh,1
184,azhar sindh,1
187,a punjab,1
188,zahid punjab,1
189,irfan punjab,1
191,razzak sindh,1
194,sasui sindh,0
195,amar sindh,1
197,parveez sindh,1
198,sajjad sindh,1
201,zulfiqar punjab,1
202,surrya punjab,0
203,asad punjab,1
204,ahsan sindh,1
205,tabish sindh,1
206,gotam sindh,1
208,talib punjab,1
210,ayaz sindh,1
211,adnan sindh,1
212,sarfraz sindh,1
213,attaullah kpk,1
215,ishrat kpk,0
217,sadiq sindh,1
220,ibrahim sindh,1
221,muhammad sindh,1
222,lalomal sindh,1
224,shahid punjab,1
226,raja punjab,1
229,asim kpk,1
234,memona punjab,0
235,daho sindh,1
236,nadeem kpk,1
239,riaz punjab,1
242,maria kpk,0
243,falak kpk,1
244,iftikhar punjab,1
245,mahnga punjab,1
246,ramzan punjab,1
248,mustafa sindh,1
249,attaullah sindh,1
256,doulat sindh,1
259,shafiq kpk,1
261,azad kpk,1
263,adil punjab,1
265,shahzad punjab,1
266,aamir punjab,1
268,vinod sindh,1
269,kamlesh sindh,1
270,mohammad punjab,1
271,shahbaz punjab,1
272,rashid sindh,1
273,aslam sindh,1
274,abrar sindh,1
275,mushtaq sindh,1
277,alam kpk,1
280,abrar kpk,1
281,dawood punjab,1
283,mohsan punjab,1
286,shahbaz sindh,1
288,bahlool sindh,1
290,khawar punjab,1
292,gurdino sindh,1
293,kheto sindh,1
294,sajid punjab,1
296,asif sindh,1
297,atta punjab,1
298,safina punjab,0
299,saira punjab,0
302,waseem punjab,1
303,irfan sindh,1
304,sheraz sindh,1
306,bharoo sindh,1
307,afaq sindh,1
308,natha sindh,1
309,ashraf sindh,1
311,wahid kpk,1
313,aatif sindh,1
314,awais sindh,1
315,tahir sindh,1
320,uzair sindh,1
321,akif punjab,1
322,shahzeb sindh,1
324,jan kpk,0
325,babar punjab,1
326,zakria punjab,1
327,ibrahim punjab,1
328,faisal sindh,1
329,kailash sindh,1
330,sagar sindh,1
331,chandar sindh,1
332,sherullah kpk,1
334,kashif punjab,1
335,sher punjab,1
336,munir sindh,1
337,chando sindh,1
338,javed punjab,1
342,robina punjab,0
344,kiran sindh,0
345,shakib sindh,1
346,uzaif sindh,1
348,alamgir sindh,1
349,mian punjab,1
352,parkash sindh,1
353,ali islamabad,1
355,saba punjab,0
356,hammad punjab,1
357,obaid sindh,1
358,waseem sindh,1
359,liaquat sindh,1
361,salman punjab,1
362,aamer punjab,1
364,dev sindh,1
365,ghulam punjab,1
366,waqas punjab,1
367,sahil sindh,1
371,ilyas sindh,1
374,raz kpk,1
376,faheem sindh,1
377,anas sindh,1
378,ahmed sindh,1
382,dawood balochistan,1
384,bakht kpk,1
386,aiman punjab,0
387,adeel sindh,1
388,tahira punjab,0
389,naeem punjab,1
392,arif punjab,1
393,syed sindh,1
394,arshad punjab,1
395,tariq punjab,1
396,faiza kpk,0
398,hanif punjab,1
400,akram sindh,1
402,sumair sindh,1
403,ghafar punjab,1
404,noman punjab,1
406,ruqia punjab,0
408,omar sindh,1
409,mansoor sindh,1
412,azhar punjab,1
414,abbas sindh,1
416,jawad kpk,1
420,hamid punjab,1
421,muhammadyousaf punjab,1
423,ilyas punjab,1
427,muhammad kpk,1
428,mubashir punjab,1
429,atif punjab,1
436,mehr punjab,1
437,naved sindh,1
438,nashid sindh,1
440,sanaullah kpk,1
442,shahnawaz punjab,1
447,noumanhameed punjab,1
449,fawad punjab,1
452,imtiaz sindh,1
454,ammara punjab,0
459,rehman sindh,1
462,ahsan kpk,1
463,taj kpk,1
465,saad punjab,1
466,ruqayya kpk,0
468,shehroz sindh,1
472,karam kpk,1
474,yaseen sindh,1
477,adam kpk,1
479,rakesh sindh,1
480,suleman sindh,1
482,nor balochistan,1
484,islam kpk,1
485,shazia punjab,0
487,mohammad sindh,1
488,maheesh sindh,1
491,amna punjab,0
492,rehan islamabad,1
494,najma punjab,0
495,ashfaq punjab,1
497,pervaz punjab,1
499,zakaria sindh,1
500,eleshah sindh,1
501,talha punjab,1
